Identifiant de la taxe pour le rapport particulier;Nom de la taxe;Article;Corpus;Organisme affectataire;Classification du Conseil des prélèvements obligatoires;2007;2008;2009;2010;2011;2012 (p);2013 (p)
123;Redevance due par les employeurs de main-d'oeuvre étrangère permanente et saisonnière;;;Office français de l'immigration et de l'intégration;Agence de l'État;9;;;;;;
124;Taxe applicable lors du renouvellement des autorisations de travail aux travailleurs étrangers;;;Office français de l'immigration et de l'intégration;Agence de l'État;17;;;;;;
125;Redevance perçue à l’occasion de l’introduction des familles étrangères en France;;;Office français de l'immigration et de l'intégration;Agence de l'État;3;;1;;;;
126;Contribution spéciale versée par les employeurs des étrangers sans autorisation de travail;;;Office français de l'immigration et de l'intégration;Agence de l'État;8;;;;;;
127;Taxe perçue à l'occasion de la délivrance du premier titre de séjour;;;Office français de l'immigration et de l'intégration;Agence de l'État;19;;;;;;
138;TVA brute sur les produits pharmaceutiques (commerce de gros);;;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;3068;;3281;;;;
139;TVA brute sur les tabacs;;;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;3050;;3101;;;;
178;Droits de consommation sur les tabacs;;;Fonds national d'aide au logement;Prélèvements péréquateurs;139;;146;;;;
180;Taxe sur les salaires;;;Fonds de solidarité vieillesse;Réaffectation aux organismes de sécurité sociale;;;0;;;;
234;Cotisations (normale et supplémentaire) des entreprises cinématographiques;;;Centre national du cinéma et de l'image animée;Agence de l'État;9;;7;;;;
239;Redevance d'archéologie préventive;;;Autres opérateurs agréés;Agence de l'État;;;;5;;5;
239;Redevance d'archéologie préventive;;;Fonds national pour l'archéologie préventive;Agence de l'État;;;;;;;
239;Redevance d'archéologie préventive;;;Institut national de recherche en archéologie préventive;Agence de l'État;42,36;;;;;;
239;Redevance d'archéologie préventive;;;Multiples (hors INRAP);Agence de l'État;20,64;;;;;;
239;Redevance d'archéologie préventive;;;Services locaux d'archéologie;Agence locale;;;;;;;
254;Redevances pour pollution de l'eau, modernisation des réseaux de collecte, pollutions diffuses, prélèvement sur la ressource en eau, stockage d'eau en période d'étiage, obstacle sur les cours d'eau et protection du milieu aquatique;;;Agences de l'eau;Agence de l'État;1729;;1923;;;;
256;Droit de francisation et de navigation;;;Conservatoire de l'espace littoral et des rivages lacustres;Agence de l'État;36;;;;;;
261;Taxe intérieure de consommation sur les houilles, lignites et cokes;;;Agence de l'environnement et de la maîtrise de l'énergie;Agence de l'État;0,4;;;;;;
280;Redevances cynégétiques;;;Office national de la chasse et de la faune sauvage;Agence de l'État;73;;;;;;
281;Prélèvement sur le produit des primes ou cotisations additionnelles relatives à la garantie contre le risque de catastrophes naturelles;;;Fonds de prévention des risques naturels majeurs;Contribution rendue obligatoire par l'État;53;;;;;;
282;Taxe sur les installations nucléaires de base;;;Institut de radioprotection et de sûreté nucléaire;Agence de l'État;10;;;;;;
634;Droits de consommation sur les tabacs;;;Fonds de solidarité;Agence de l'État;;;;;;;
634;Droits de consommation sur les tabacs;;;Fonds unique de péréquation;Contribution rendue obligatoire par l'État;114;;;;;;
676;Taxe annuelle relative aux dispositifs médicaux mis sur le marché français;;;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;16;;16;;;;
677;Droit progressif sur les demandes d'autorisation de mise sur le marché de médicaments;;;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;33;;;;;;
679;Taxe annuelle due par tout laboratoire public ou privé d'analyses de biologie médicale (CNQ);;;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;2;;;;;;
681;Taxe additionnelle à la taxe sur les demandes d'autorisation de recherche biomédicale;;;Comités de protection des personnes;Agence de l'État;2;;;;;;
683;Droit sur les inspections menées en vue de la délivrance du certificat de conformité mentionné à l'article L5138-4 du code de la santé publique;;;Agence nationale de sécurité du médicament et des produits de santé;Agence de l'État;0;;;;;;
695;Contribution forfaitaire due par les employeurs de main d'oeuvre permanente;;;Office français de l'immigration et de l'intégration;Agence de l'État;19;;;;;;
855;Taxe sur le prix des entrées aux séances organisées dans les établissements de spectacles cinématographiques;;;Centre national du cinéma et de l'image animée;Agence de l'État;117;;;;;;
856;Taxe sur les services de télévision;;;Centre national du cinéma et de l'image animée;Agence de l'État;362;;451;;;;
857;Taxe sur les ventes et les locations de vidéogrammes destinés à l'usage privé du public (taxe vidéo et VOD);;;Centre national du cinéma et de l'image animée;Agence de l'État;66;;33;;;;
939;Contribution sur les avantages de préretraite d’entreprise;;;Caisse nationale d'assurance vieillesse des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
939;Contribution sur les avantages de préretraite d’entreprise;;;Fonds de solidarité vieillesse;Affectation initiale aux organismes de sécurité sociale;;;;;;;
939;Contribution sur les avantages de préretraite d’entreprise;;;Multiples (social);Affectation initiale aux organismes de sécurité sociale;81;;;;;;
940;Contribution sur les indemnités de mise à la retraite;;;Caisse nationale d'assurance vieillesse des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;0;;;;;;
1038;Contribution des employeurs publics au fonds pour l'insertion des personnes handicapées dans la fonction publique (FIPHFP);;;Établissement public administratif chargé de la gestion du fonds pour l'insertion des personnes handicapées dans la fonction publique;Agence de l'État;165;;;;;;
1098;Contributions additionnelles de 1,1 % au prélèvement de 2 % sur les revenus du patrimoine et les produits de placements;;;Fonds national des solidarités actives;Prélèvements péréquateurs;0;;;;;;
1118;Contribution sur les régimes de retraite conditionnant la constitution de droits à prestations à l’achèvement de la carrière du bénéficiaire dans l’entreprise;;;Fonds de solidarité vieillesse;Affectation initiale aux organismes de sécurité sociale;28;;;;;;
1139;Droit de circulation sur les vins, cidres, poirés et hydromels;;;Régime de protection sociale des non salariés agricoles;Réaffectation aux organismes de sécurité sociale;;;117;;;;
1140;Taxe sur les véhicules de société;;;Régime de protection sociale des non salariés agricoles;Réaffectation aux organismes de sécurité sociale;;;1114;;;;
1381;Droits de consommation sur les tabacs;;;Fonds de solidarité;Agence de l'État;;;124;;;;
1402;Prélèvement sur le potentiel financier des organismes HLM et SEM;;;Caisse de garantie du logement locatif social;Agence de l'État;;;0;;;;
1442;Péréquation entre organismes de logement social;;;Caisse de garantie du logement locatif social;Agence de l'État;;;0;;;;
