uid,tax-identifier,tax-name,article,corpus,organisme-affectataire,classification,date,montant
0,123,Redevance due par les employeurs de main-d'oeuvre étrangère permanente et saisonnière,,,Office français de l'immigration et de l'intégration,Agence de l'État,2007-01-01,9.0
1,124,Taxe applicable lors du renouvellement des autorisations de travail aux travailleurs étrangers,,,Office français de l'immigration et de l'intégration,Agence de l'État,2007-01-01,17.0
2,125,Redevance perçue à l’occasion de l’introduction des familles étrangères en France,,,Office français de l'immigration et de l'intégration,Agence de l'État,2007-01-01,3.0
3,125,Redevance perçue à l’occasion de l’introduction des familles étrangères en France,,,Office français de l'immigration et de l'intégration,Agence de l'État,2009-01-01,1.0
4,126,Contribution spéciale versée par les employeurs des étrangers sans autorisation de travail,,,Office français de l'immigration et de l'intégration,Agence de l'État,2007-01-01,8.0
5,127,Taxe perçue à l'occasion de la délivrance du premier titre de séjour,,,Office français de l'immigration et de l'intégration,Agence de l'État,2007-01-01,19.0
6,138,TVA brute sur les produits pharmaceutiques (commerce de gros),,,Divers régimes de sécurité sociale,Réaffectation aux organismes de sécurité sociale,2007-01-01,3068.0
7,138,TVA brute sur les produits pharmaceutiques (commerce de gros),,,Divers régimes de sécurité sociale,Réaffectation aux organismes de sécurité sociale,2009-01-01,3281.0
8,139,TVA brute sur les tabacs,,,Divers régimes de sécurité sociale,Réaffectation aux organismes de sécurité sociale,2007-01-01,3050.0
9,139,TVA brute sur les tabacs,,,Divers régimes de sécurité sociale,Réaffectation aux organismes de sécurité sociale,2009-01-01,3101.0
10,178,Droits de consommation sur les tabacs,,,Fonds national d'aide au logement,Prélèvements péréquateurs,2007-01-01,139.0
11,178,Droits de consommation sur les tabacs,,,Fonds national d'aide au logement,Prélèvements péréquateurs,2009-01-01,146.0
12,180,Taxe sur les salaires,,,Fonds de solidarité vieillesse,Réaffectation aux organismes de sécurité sociale,2009-01-01,0.0
13,234,Cotisations (normale et supplémentaire) des entreprises cinématographiques,,,Centre national du cinéma et de l'image animée,Agence de l'État,2007-01-01,9.0
